"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"COMMENT";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SPICEPREFIX";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";"WATTAGE";
"2";"";"CAP_POL1206-KIT";"EIA3216-KIT";"C1, C7";"Capacitor Polarized";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1, LED2, LED3, LED4";"LED";"";"";"";"";"";"";"";"";"";"28";"";"";"";"";"";"";"";"";"";
"1";"";"SIMHOLDERSIM";"SIMHOLDER";"J2";"SIM Socket";"";"";"";"";"";"";"";"";"";"";"";"CONN-08536";"";"";"";"";"";"";"";
"1";"0.1uF";"C1206C105K5RACTU";"CAPC3216X110N";"C9";"CAPACITOR, 1206";"";"";"";"";"";"C1206C105K5RACTU";"1288207";"93K6006";"";"";"";"";"";"";"Kemet";"±10%";"1uF";"50V";"";
"4";"10k";"ERJ-8ENF1501V";"RESC3216X71N";"R9, R10, R11, R12";"RESISTOR, 1206";"";"";"";"";"";"ERJ-8ENF1501V";"1748434";"64R5441";"";"";"";"";"";"";"Panasonic";"±1 %";"1.5 KOhm";"";"0.25 W";
"1";"10uF";"C1206C105K5RACTU";"CAPC3216X110N";"C10";"CAPACITOR, 1206";"";"";"";"";"";"C1206C105K5RACTU";"1288207";"93K6006";"";"";"";"";"";"";"Kemet";"±10%";"1uF";"50V";"";
"2";"10uF";"CAP_POL1206-KIT";"EIA3216-KIT";"C6, C8";"Capacitor Polarized";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"120";"ERJ-8ENF1501V";"RESC3216X71N";"R7";"RESISTOR, 1206";"";"";"";"";"";"ERJ-8ENF1501V";"1748434";"64R5441";"";"";"";"";"";"";"Panasonic";"±1 %";"1.5 KOhm";"";"0.25 W";
"3";"1461402-6";"1461402-6";"RELAY_1461402-6";"CON12V, GPS, MODEM";"Electromechanical Relay 12VDC 320Ohm 10A SPST-NO (( 18.2mm 10.2mm 14.7mm)) THT Industrial Relay Check prices";"Warning";"1461402-6";" Electromechanical Relay 12VDC 320Ohm 10A SPST-NO (( 18.2mm 10.2mm 14.7mm)) THT Industrial Relay ";"TE Connectivity";"OJE-SH-112HM,000";"";"";"";"None";"";"None";"";"https://pricing.snapeda.com/search/part/OJE-SH-112HM,000/?ref=eda";"";"";"";"";"";"";
"1";"1N4002";"DIODESMA-KIT";"SMA-DIODE-KIT";"D2";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"1X4";"1X4";"1X4";"A/B-RS485, A/B-RS485-2, A/V1, A/V2, A/V3, GPS_SERIAL1, USB_MODEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1X6";"1X6";"1X6";"U$5, U$7, U$9, U$10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1k";"R-US_M1406";"M1406";"R13, R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"";"R";"";"";"";"";"";
"1";"1uF";"C1206C105K5RACTU";"CAPC3216X110N";"C3";"CAPACITOR, 1206";"";"";"";"";"";"C1206C105K5RACTU";"1288207";"93K6006";"";"";"";"";"";"";"Kemet";"±10%";"1uF";"50V";"";
"1";"1uF";"CAP_POL1206-KIT";"EIA3216-KIT";"C5";"Capacitor Polarized";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"2.2K";"ERJ-8ENF1501V";"RESC3216X71N";"R18, R20, R25, R27";"RESISTOR, 1206";"";"";"";"";"";"ERJ-8ENF1501V";"1748434";"64R5441";"";"";"";"";"";"";"Panasonic";"±1 %";"1.5 KOhm";"";"0.25 W";
